Top-200 PPR Rankings For 2017,,,,,,,,,,,Top-200 PPR Rankings For 2017,,,,,
PLAYER/POSITION/TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG,,,PLAYER/POSITION/TEAM,,,,,
"57. Drew Brees, QB, NO",QB,5,56,57,54,50,62,55.8,,,57,Drew Brees,,,,
"58. Martavis Bryant, WR, PIT",WR,9,44,50,62,68,64,57.6,,,58,Martavis Bryant,,,,
"59. Pierre Garcon, WR, SF",WR,11,51,61,71,70,37,58,,,59,Pierre Garcon,,,,
"60. Stefon Diggs, WR, MIN",WR,9,61,46,67,61,57,58.4,,,60,Stefon Diggs,,,,
"61. Mark Ingram, RB, NO",RB,5,71,58,40,54,69,58.4,,,61,Mark Ingram,,,,
"62. Frank Gore, RB, IND",RB,11,72,68,53,53,59,61,,,62,Frank Gore,,,,
"63. Brandon Marshall, WR, NYG",WR,8,41,79,77,58,58,62.6,,,63,Brandon Marshall,,,,
"64. DeVante Parker, WR, MIA",WR,1,52,52,76,72,65,63.4,,,64,DeVante Parker,,,,
"65. Theo Riddick, RB, DET",RB,7,86,73,52,73,66,70,,,65,Theo Riddick,,,,
"66. Adrian Peterson, RB, NO",RB,5,64,72,78,65,76,71,,,66,Adrian Peterson,,,,
"67. Matt Ryan, QB, ATL",QB,5,65,60,68,90,72,71,,,67,Matt Ryan,,,,
"68. C.J. Anderson, RB, DEN",RB,5,74,69,75,64,74,71.2,,,68,C,J, Anderson,,
"69. Rob Kelley, RB, WAS",RB,5,69,78,84,62,63,71.2,,,69,Rob Kelley,,,,
"70. Ameer Abdullah, RB, DET",RB,7,79,71,57,74,85,73.2,,,70,Ameer Abdullah,,,,
"71. Jeremy Maclin, WR, BAL",WR,10,73,53,87,86,71,74,,,71,Jeremy Maclin,,,,
"72. Paul Perkins, RB, NYG",RB,8,82,75,69,63,86,75,,,72,Paul Perkins,,,,
"73. Mike Gillislee, RB, NE",RB,9,97,102,65,55,61,76,,,73,Mike Gillislee,,,,
"74. Eric Decker, WR, TEN",WR,8,53,88,91,87,82,80.2,,,74,Eric Decker,,,,
"75. DeSean Jackson, WR, TB",WR,1,103,81,86,69,68,81.4,,,75,DeSean Jackson,,,,
