,player,position,avgrank,overallrank,positionrank
154,Sammy Watkins,WR,53,55,28
155,Martavis Bryant,WR,57.6,58,29
156,Pierre Garcon,WR,58,59,30
157,Stefon Diggs,WR,58.4,60,31
158,Brandon Marshall,WR,62.6,63,32
159,DeVante Parker,WR,63.4,64,33
160,Jeremy Maclin,WR,74,71,34
161,Eric Decker,WR,80.2,74,35
162,DeSean Jackson,WR,81.4,75,36
163,Adam Thielen,WR,85.2,80,37
164,Mike Wallace,WR,85.2,81,38
165,Donte Moncrief,WR,85.6,83,39
166,Kenny Britt,WR,86,84,40
167,Chris Hogan,WR,88.6,86,41
168,Tyrell Williams,WR,90.2,90,42
169,Willie Snead,WR,97.2,95,43
170,Rishard Matthews,WR,100.8,98,44
171,Randall Cobb,WR,101.2,100,45
172,Zay Jones,WR,106,102,46
173,Ted Ginn Jr.,WR,113,107,47
174,Jordan Matthews,WR,113.8,109,48
175,Corey Coleman,WR,115.8,112,49
176,Corey Davis,WR,117,115,50
177,Kevin White,WR,118.4,117,51
178,John Brown,WR,120.4,118,52
179,Danny Amendola,WR,124,121,53
180,Marvin Jones Jr.,WR,128.6,125,54
181,Josh Doctson,WR,134.6,126,55
182,Marqise Lee,WR,153.6,142,56
183,Sterling Shepard,WR,155.2,148,57
184,Kendall Wright,WR,157.8,153,58
185,Torrey Smith,WR,159.6,156,59
186,Kenny Stills,WR,167.6,165,60
187,Tyler Lockett,WR,171.2,169,61
188,Cole Beasley,WR,172.2,170,62
189,Cooper Kupp,WR,174.8,174,63
190,Robert Woods,WR,177.6,178,64
191,Taylor Gabriel,WR,181.4,184,65
192,Devin Funchess,WR,181.8,187,66
193,Mohamed Sanu,WR,182.4,188,67
194,Breshad Perriman,WR,184.4,191,68
195,Curtis Samuel,WR,185.8,193,69
196,John Ross,WR,185.8,194,70
197,J.J. Nelson,WR,185.8,195,71
198,Will Fuller V,WR,186.6,196,72
199,Paul Richardson,WR,187.4,197,73
200,Nelson Agholor,WR,188.6,200,74
